"Model","b0_auc_AIC","b0_auc_resid-SW","b0_auc_resid-p","b0_auc_RE-SW","b0_auc_RE-p","b1_auc_AIC","b1_auc_resid-SW","b1_auc_resid-p","b1_auc_RE-SW","b1_auc_RE-p"
"LME-Age",863.045021159824,0.992743945850791,0.711146591266481,0.984202756116221,0.354916121919281,627.605368068467,0.979837457884592,0.0401323247675101,0.973660289317947,0.0669438790165168
"LME-Age.Sex",864.855029270336,0.993756784940832,0.814859644574352,0.984136620376803,0.351494047157827,631.325223484314,0.979618415806257,0.0380702871760962,0.973788111009778,0.0683460344383259
"GAMM-Age",861.39125228631,0.993525584265194,0.792149623338186,0.987152967612691,0.533300919072718,627.672254995516,0.985944077002773,0.174861137739107,0.981123922199475,0.222268140660015
"GAMM-Age.Sex",862.922457664344,0.993833441851601,0.822210674271334,0.986450873412874,0.486553422095504,630.909671931215,0.986763059931635,0.211948559827931,0.981039398078202,0.219346142206418
"GAMM-PDS",858.276696641552,0.992182101806843,0.651164222837023,0.983240347091293,0.307681304772999,625.581483912257,0.989088905006286,0.358042570583265,0.988469861914816,0.626253885820079
"GAMM-PDS.Sex",859.485484574665,0.991401363421201,0.568947634370555,0.978654912281487,0.150216412576017,633.106652892235,0.984968901865008,0.138634872196379,0.984505512032057,0.370916020629984
"GAMM-AgePDS",859.441570384049,0.993802431752063,0.819248492938167,0.982999809101857,0.29672496519657,625.938776501425,0.99112010828747,0.540254849255904,0.987032853934017,0.525139842136937
"GAMM-AgePDS.Sex",862.460315204656,0.993017319479125,0.740013111782484,0.98318169665189,0.304978953956596,631.709590013371,0.991446724261829,0.573632419745057,0.979494214132947,0.171797369765808
